MsgNum, Byte, GRIB-Version, elem, level, reference(UTC), valid(UTC), Proj(hr)
43.0, 58717647, 2, UGRD="u-component of wind [m/s]", 2000-ISBL, 02/05/2023 00:00, 02/05/2023 01:00, 1.00
43.1, 58717647, 2, VGRD="v-component of wind [m/s]", 2000-ISBL, 02/05/2023 00:00, 02/05/2023 01:00, 1.00
44.0, 60999893, 2, HGT="Geopotential height [gpm]", 3000-ISBL, 02/05/2023 00:00, 02/05/2023 01:00, 1.00
45.0, 62939696, 2, TMP="Temperature [K]", 3000-ISBL, 02/05/2023 00:00, 02/05/2023 01:00, 1.00
46.0, 63660325, 2, RH="Relative humidity [%]", 3000-ISBL, 02/05/2023 00:00, 02/05/2023 01:00, 1.00
47.0, 64359197, 2, SPFH="Specific humidity [kg/kg]", 3000-ISBL, 02/05/2023 00:00, 02/05/2023 01:00, 1.00
48.0, 65920162, 2, VVEL="Vertical velocity (pressure) [Pa/s]", 3000-ISBL, 02/05/2023 00:00, 02/05/2023 01:00, 1.00
49.0, 67437940, 2, DZDT="Verical velocity (geometric) [m/s]", 3000-ISBL, 02/05/2023 00:00, 02/05/2023 01:00, 1.00
50.0, 67912613, 2, UGRD="u-component of wind [m/s]", 3000-ISBL, 02/05/2023 00:00, 02/05/2023 01:00, 1.00
50.1, 67912613, 2, VGRD="v-component of wind [m/s]", 3000-ISBL, 02/05/2023 00:00, 02/05/2023 01:00, 1.00
51.0, 70409185, 2, TKE="Turbulent kinetic energy [J/kg]", 3000-ISBL, 02/05/2023 00:00, 02/05/2023 01:00, 1.00
52.0, 70666572, 2, CLWMR="Cloud mixing ratio [kg/kg]", 3000-ISBL, 02/05/2023 00:00, 02/05/2023 01:00, 1.00
53.0, 70904934, 2, CICE="Cloud Ice [kg/(m^2)]", 3000-ISBL, 02/05/2023 00:00, 02/05/2023 01:00, 1.00
54.0, 71143296, 2, RWMR="Rain mixing ratio [kg/kg]", 3000-ISBL, 02/05/2023 00:00, 02/05/2023 01:00, 1.00
55.0, 71381658, 2, SNMR="Snow mixing ratio [kg/kg]", 3000-ISBL, 02/05/2023 00:00, 02/05/2023 01:00, 1.00
56.0, 71620020, 2, RIME="Rime Factor [-]", 3000-ISBL, 02/05/2023 00:00, 02/05/2023 01:00, 1.00
57.0, 71858382, 2, HGT="Geopotential height [gpm]", 5000-ISBL, 02/05/2023 00:00, 02/05/2023 01:00, 1.00
58.0, 73613522, 2, TMP="Temperature [K]", 5000-ISBL, 02/05/2023 00:00, 02/05/2023 01:00, 1.00
59.0, 74337264, 2, RH="Relative humidity [%]", 5000-ISBL, 02/05/2023 00:00, 02/05/2023 01:00, 1.00
60.0, 74864833, 2, SPFH="Specific humidity [kg/kg]", 5000-ISBL, 02/05/2023 00:00, 02/05/2023 01:00, 1.00
61.0, 76411692, 2, VVEL="Vertical velocity (pressure) [Pa/s]", 5000-ISBL, 02/05/2023 00:00, 02/05/2023 01:00, 1.00
62.0, 78180992, 2, DZDT="Verical velocity (geometric) [m/s]", 5000-ISBL, 02/05/2023 00:00, 02/05/2023 01:00, 1.00
63.0, 78662558, 2, UGRD="u-component of wind [m/s]", 5000-ISBL, 02/05/2023 00:00, 02/05/2023 01:00, 1.00
63.1, 78662558, 2, VGRD="v-component of wind [m/s]", 5000-ISBL, 02/05/2023 00:00, 02/05/2023 01:00, 1.00
64.0, 81286726, 2, TKE="Turbulent kinetic energy [J/kg]", 5000-ISBL, 02/05/2023 00:00, 02/05/2023 01:00, 1.00
65.0, 81526605, 2, CLWMR="Cloud mixing ratio [kg/kg]", 5000-ISBL, 02/05/2023 00:00, 02/05/2023 01:00, 1.00
66.0, 81764967, 2, CICE="Cloud Ice [kg/(m^2)]", 5000-ISBL, 02/05/2023 00:00, 02/05/2023 01:00, 1.00
67.0, 82003329, 2, RWMR="Rain mixing ratio [kg/kg]", 5000-ISBL, 02/05/2023 00:00, 02/05/2023 01:00, 1.00
68.0, 82241691, 2, SNMR="Snow mixing ratio [kg/kg]", 5000-ISBL, 02/05/2023 00:00, 02/05/2023 01:00, 1.00
69.0, 82480053, 2, RIME="Rime Factor [-]", 5000-ISBL, 02/05/2023 00:00, 02/05/2023 01:00, 1.00
70.0, 82718415, 2, HGT="Geopotential height [gpm]", 7500-ISBL, 02/05/2023 00:00, 02/05/2023 01:00, 1.00
71.0, 84554863, 2, TMP="Temperature [K]", 7500-ISBL, 02/05/2023 00:00, 02/05/2023 01:00, 1.00
72.0, 85318371, 2, RH="Relative humidity [%]", 7500-ISBL, 02/05/2023 00:00, 02/05/2023 01:00, 1.00
73.0, 85711541, 2, SPFH="Specific humidity [kg/kg]", 7500-ISBL, 02/05/2023 00:00, 02/05/2023 01:00, 1.00
74.0, 86645872, 2, VVEL="Vertical velocity (pressure) [Pa/s]", 7500-ISBL, 02/05/2023 00:00, 02/05/2023 01:00, 1.00
75.0, 88796334, 2, DZDT="Verical velocity (geometric) [m/s]", 7500-ISBL, 02/05/2023 00:00, 02/05/2023 01:00, 1.00
76.0, 89391322, 2, UGRD="u-component of wind [m/s]", 7500-ISBL, 02/05/2023 00:00, 02/05/2023 01:00, 1.00
76.1, 89391322, 2, VGRD="v-component of wind [m/s]", 7500-ISBL, 02/05/2023 00:00, 02/05/2023 01:00, 1.00
77.0, 92270933, 2, TKE="Turbulent kinetic energy [J/kg]", 7500-ISBL, 02/05/2023 00:00, 02/05/2023 01:00, 1.00
78.0, 92510339, 2, CLWMR="Cloud mixing ratio [kg/kg]", 7500-ISBL, 02/05/2023 00:00, 02/05/2023 01:00, 1.00
79.0, 92748701, 2, CICE="Cloud Ice [kg/(m^2)]", 7500-ISBL, 02/05/2023 00:00, 02/05/2023 01:00, 1.00
80.0, 92987567, 2, RWMR="Rain mixing ratio [kg/kg]", 7500-ISBL, 02/05/2023 00:00, 02/05/2023 01:00, 1.00
81.0, 93225929, 2, SNMR="Snow mixing ratio [kg/kg]", 7500-ISBL, 02/05/2023 00:00, 02/05/2023 01:00, 1.00
82.0, 93464375, 2, RIME="Rime Factor [-]", 7500-ISBL, 02/05/2023 00:00, 02/05/2023 01:00, 1.00
83.0, 93702737, 2, HGT="Geopotential height [gpm]", 10000-ISBL, 02/05/2023 00:00, 02/05/2023 01:00, 1.00
84.0, 95392747, 2, TMP="Temperature [K]", 10000-ISBL, 02/05/2023 00:00, 02/05/2023 01:00, 1.00
85.0, 96145673, 2, RH="Relative humidity [%]", 10000-ISBL, 02/05/2023 00:00, 02/05/2023 01:00, 1.00
86.0, 96521564, 2, SPFH="Specific humidity [kg/kg]", 10000-ISBL, 02/05/2023 00:00, 02/05/2023 01:00, 1.00
87.0, 97481300, 2, VVEL="Vertical velocity (pressure) [Pa/s]", 10000-ISBL, 02/05/2023 00:00, 02/05/2023 01:00, 1.00
88.0, 99879138, 2, DZDT="Verical velocity (geometric) [m/s]", 10000-ISBL, 02/05/2023 00:00, 02/05/2023 01:00, 1.00
89.0, 100534680, 2, UGRD="u-component of wind [m/s]", 10000-ISBL, 02/05/2023 00:00, 02/05/2023 01:00, 1.00
89.1, 100534680, 2, VGRD="v-component of wind [m/s]", 10000-ISBL, 02/05/2023 00:00, 02/05/2023 01:00, 1.00
90.0, 103482013, 2, TKE="Turbulent kinetic energy [J/kg]", 10000-ISBL, 02/05/2023 00:00, 02/05/2023 01:00, 1.00
91.0, 103721344, 2, CLWMR="Cloud mixing ratio [kg/kg]", 10000-ISBL, 02/05/2023 00:00, 02/05/2023 01:00, 1.00
92.0, 103959706, 2, CICE="Cloud Ice [kg/(m^2)]", 10000-ISBL, 02/05/2023 00:00, 02/05/2023 01:00, 1.00
93.0, 104198995, 2, RWMR="Rain mixing ratio [kg/kg]", 10000-ISBL, 02/05/2023 00:00, 02/05/2023 01:00, 1.00
94.0, 104437357, 2, SNMR="Snow mixing ratio [kg/kg]", 10000-ISBL, 02/05/2023 00:00, 02/05/2023 01:00, 1.00
95.0, 104675930, 2, RIME="Rime Factor [-]", 10000-ISBL, 02/05/2023 00:00, 02/05/2023 01:00, 1.00
96.0, 104914292, 2, HGT="Geopotential height [gpm]", 12500-ISBL, 02/05/2023 00:00, 02/05/2023 01:00, 1.00
97.0, 106651031, 2, TMP="Temperature [K]", 12500-ISBL, 02/05/2023 00:00, 02/05/2023 01:00, 1.00
98.0, 107392416, 2, RH="Relative humidity [%]", 12500-ISBL, 02/05/2023 00:00, 02/05/2023 01:00, 1.00
99.0, 107694440, 2, SPFH="Specific humidity [kg/kg]", 12500-ISBL, 02/05/2023 00:00, 02/05/2023 01:00, 1.00
100.0, 108733893, 2, VVEL="Vertical velocity (pressure) [Pa/s]", 12500-ISBL, 02/05/2023 00:00, 02/05/2023 01:00, 1.00
101.0, 111049782, 2, DZDT="Verical velocity (geometric) [m/s]", 12500-ISBL, 02/05/2023 00:00, 02/05/2023 01:00, 1.00
102.0, 111770236, 2, UGRD="u-component of wind [m/s]", 12500-ISBL, 02/05/2023 00:00, 02/05/2023 01:00, 1.00
102.1, 111770236, 2, VGRD="v-component of wind [m/s]", 12500-ISBL, 02/05/2023 00:00, 02/05/2023 01:00, 1.00
103.0, 114768072, 2, TKE="Turbulent kinetic energy [J/kg]", 12500-ISBL, 02/05/2023 00:00, 02/05/2023 01:00, 1.00
104.0, 115014929, 2, CLWMR="Cloud mixing ratio [kg/kg]", 12500-ISBL, 02/05/2023 00:00, 02/05/2023 01:00, 1.00
105.0, 115253291, 2, CICE="Cloud Ice [kg/(m^2)]", 12500-ISBL, 02/05/2023 00:00, 02/05/2023 01:00, 1.00
106.0, 115492583, 2, RWMR="Rain mixing ratio [kg/kg]", 12500-ISBL, 02/05/2023 00:00, 02/05/2023 01:00, 1.00
107.0, 115730945, 2, SNMR="Snow mixing ratio [kg/kg]", 12500-ISBL, 02/05/2023 00:00, 02/05/2023 01:00, 1.00
108.0, 115969471, 2, RIME="Rime Factor [-]", 12500-ISBL, 02/05/2023 00:00, 02/05/2023 01:00, 1.00
109.0, 116207833, 2, HGT="Geopotential height [gpm]", 15000-ISBL, 02/05/2023 00:00, 02/05/2023 01:00, 1.00
110.0, 117966577, 2, TMP="Temperature [K]", 15000-ISBL, 02/05/2023 00:00, 02/05/2023 01:00, 1.00
111.0, 118721270, 2, RH="Relative humidity [%]", 15000-ISBL, 02/05/2023 00:00, 02/05/2023 01:00, 1.00
112.0, 119056998, 2, SPFH="Specific humidity [kg/kg]", 15000-ISBL, 02/05/2023 00:00, 02/05/2023 01:00, 1.00
113.0, 120158021, 2, VVEL="Vertical velocity (pressure) [Pa/s]", 15000-ISBL, 02/05/2023 00:00, 02/05/2023 01:00, 1.00
114.0, 122014637, 2, DZDT="Verical velocity (geometric) [m/s]", 15000-ISBL, 02/05/2023 00:00, 02/05/2023 01:00, 1.00
115.0, 122752602, 2, UGRD="u-component of wind [m/s]", 15000-ISBL, 02/05/2023 00:00, 02/05/2023 01:00, 1.00
115.1, 122752602, 2, VGRD="v-component of wind [m/s]", 15000-ISBL, 02/05/2023 00:00, 02/05/2023 01:00, 1.00
116.0, 125798378, 2, TKE="Turbulent kinetic energy [J/kg]", 15000-ISBL, 02/05/2023 00:00, 02/05/2023 01:00, 1.00
117.0, 126062821, 2, CLWMR="Cloud mixing ratio [kg/kg]", 15000-ISBL, 02/05/2023 00:00, 02/05/2023 01:00, 1.00
118.0, 126301183, 2, CICE="Cloud Ice [kg/(m^2)]", 15000-ISBL, 02/05/2023 00:00, 02/05/2023 01:00, 1.00
119.0, 126540268, 2, RWMR="Rain mixing ratio [kg/kg]", 15000-ISBL, 02/05/2023 00:00, 02/05/2023 01:00, 1.00
120.0, 126778630, 2, SNMR="Snow mixing ratio [kg/kg]", 15000-ISBL, 02/05/2023 00:00, 02/05/2023 01:00, 1.00
121.0, 127017064, 2, RIME="Rime Factor [-]", 15000-ISBL, 02/05/2023 00:00, 02/05/2023 01:00, 1.00
122.0, 127255426, 2, HGT="Geopotential height [gpm]", 17500-ISBL, 02/05/2023 00:00, 02/05/2023 01:00, 1.00
123.0, 129024790, 2, TMP="Temperature [K]", 17500-ISBL, 02/05/2023 00:00, 02/05/2023 01:00, 1.00
124.0, 129794635, 2, RH="Relative humidity [%]", 17500-ISBL, 02/05/2023 00:00, 02/05/2023 01:00, 1.00
125.0, 130197399, 2, SPFH="Specific humidity [kg/kg]", 17500-ISBL, 02/05/2023 00:00, 02/05/2023 01:00, 1.00
126.0, 131442759, 2, VVEL="Vertical velocity (pressure) [Pa/s]", 17500-ISBL, 02/05/2023 00:00, 02/05/2023 01:00, 1.00
127.0, 133352502, 2, DZDT="Verical velocity (geometric) [m/s]", 17500-ISBL, 02/05/2023 00:00, 02/05/2023 01:00, 1.00
128.0, 134090238, 2, UGRD="u-component of wind [m/s]", 17500-ISBL, 02/05/2023 00:00, 02/05/2023 01:00, 1.00
128.1, 134090238, 2, VGRD="v-component of wind [m/s]", 17500-ISBL, 02/05/2023 00:00, 02/05/2023 01:00, 1.00
129.0, 137108885, 2, TKE="Turbulent kinetic energy [J/kg]", 17500-ISBL, 02/05/2023 00:00, 02/05/2023 01:00, 1.00
130.0, 137391167, 2, CLWMR="Cloud mixing ratio [kg/kg]", 17500-ISBL, 02/05/2023 00:00, 02/05/2023 01:00, 1.00
131.0, 137629529, 2, CICE="Cloud Ice [kg/(m^2)]", 17500-ISBL, 02/05/2023 00:00, 02/05/2023 01:00, 1.00
132.0, 137868616, 2, RWMR="Rain mixing ratio [kg/kg]", 17500-ISBL, 02/05/2023 00:00, 02/05/2023 01:00, 1.00
133.0, 138106978, 2, SNMR="Snow mixing ratio [kg/kg]", 17500-ISBL, 02/05/2023 00:00, 02/05/2023 01:00, 1.00
134.0, 138345340, 2, RIME="Rime Factor [-]", 17500-ISBL, 02/05/2023 00:00, 02/05/2023 01:00, 1.00
135.0, 138583702, 2, HGT="Geopotential height [gpm]", 20000-ISBL, 02/05/2023 00:00, 02/05/2023 01:00, 1.00
136.0, 140352653, 2, TMP="Temperature [K]", 20000-ISBL, 02/05/2023 00:00, 02/05/2023 01:00, 1.00
137.0, 141156227, 2, RH="Relative humidity [%]", 20000-ISBL, 02/05/2023 00:00, 02/05/2023 01:00, 1.00
138.0, 141736933, 2, SPFH="Specific humidity [kg/kg]", 20000-ISBL, 02/05/2023 00:00, 02/05/2023 01:00, 1.00
139.0, 143257054, 2, VVEL="Vertical velocity (pressure) [Pa/s]", 20000-ISBL, 02/05/2023 00:00, 02/05/2023 01:00, 1.00
140.0, 145203086, 2, DZDT="Verical velocity (geometric) [m/s]", 20000-ISBL, 02/05/2023 00:00, 02/05/2023 01:00, 1.00
141.0, 145923361, 2, UGRD="u-component of wind [m/s]", 20000-ISBL, 02/05/2023 00:00, 02/05/2023 01:00, 1.00
141.1, 145923361, 2, VGRD="v-component of wind [m/s]", 20000-ISBL, 02/05/2023 00:00, 02/05/2023 01:00, 1.00
142.0, 149012848, 2, TKE="Turbulent kinetic energy [J/kg]", 20000-ISBL, 02/05/2023 00:00, 02/05/2023 01:00, 1.00
143.0, 149288186, 2, CLWMR="Cloud mixing ratio [kg/kg]", 20000-ISBL, 02/05/2023 00:00, 02/05/2023 01:00, 1.00
144.0, 149526548, 2, CICE="Cloud Ice [kg/(m^2)]", 20000-ISBL, 02/05/2023 00:00, 02/05/2023 01:00, 1.00
145.0, 149778734, 2, RWMR="Rain mixing ratio [kg/kg]", 20000-ISBL, 02/05/2023 00:00, 02/05/2023 01:00, 1.00
146.0, 150017096, 2, SNMR="Snow mixing ratio [kg/kg]", 20000-ISBL, 02/05/2023 00:00, 02/05/2023 01:00, 1.00
147.0, 150255458, 2, RIME="Rime Factor [-]", 20000-ISBL, 02/05/2023 00:00, 02/05/2023 01:00, 1.00
148.0, 150493820, 2, HGT="Geopotential height [gpm]", 22500-ISBL, 02/05/2023 00:00, 02/05/2023 01:00, 1.00
149.0, 152260668, 2, TMP="Temperature [K]", 22500-ISBL, 02/05/2023 00:00, 02/05/2023 01:00, 1.00
150.0, 153020393, 2, RH="Relative humidity [%]", 22500-ISBL, 02/05/2023 00:00, 02/05/2023 01:00, 1.00
151.0, 153713314, 2, SPFH="Specific humidity [kg/kg]", 22500-ISBL, 02/05/2023 00:00, 02/05/2023 01:00, 1.00
152.0, 154736606, 2, VVEL="Vertical velocity (pressure) [Pa/s]", 22500-ISBL, 02/05/2023 00:00, 02/05/2023 01:00, 1.00
153.0, 156713826, 2, DZDT="Verical velocity (geometric) [m/s]", 22500-ISBL, 02/05/2023 00:00, 02/05/2023 01:00, 1.00
154.0, 157432220, 2, UGRD="u-component of wind [m/s]", 22500-ISBL, 02/05/2023 00:00, 02/05/2023 01:00, 1.00
154.1, 157432220, 2, VGRD="v-component of wind [m/s]", 22500-ISBL, 02/05/2023 00:00, 02/05/2023 01:00, 1.00
155.0, 160530321, 2, TKE="Turbulent kinetic energy [J/kg]", 22500-ISBL, 02/05/2023 00:00, 02/05/2023 01:00, 1.00
156.0, 160851272, 2, CLWMR="Cloud mixing ratio [kg/kg]", 22500-ISBL, 02/05/2023 00:00, 02/05/2023 01:00, 1.00
157.0, 161089634, 2, CICE="Cloud Ice [kg/(m^2)]", 22500-ISBL, 02/05/2023 00:00, 02/05/2023 01:00, 1.00
158.0, 161357557, 2, RWMR="Rain mixing ratio [kg/kg]", 22500-ISBL, 02/05/2023 00:00, 02/05/2023 01:00, 1.00
159.0, 161595919, 2, SNMR="Snow mixing ratio [kg/kg]", 22500-ISBL, 02/05/2023 00:00, 02/05/2023 01:00, 1.00
